fecha,spot_ars_usd,tna_domestica_usada,tna_externa_usada,forward_teorico_90d,tna_implicita_forward
2021-01-01,85.970835,0.341219,0.045,92.18126049670194,0.2929682563338307
2021-02-01,88.67462222222223,0.341007,0.045,95.07578141748574,0.292758582847853
2021-03-01,91.06636818181818,0.340682,0.045,97.63296275953468,0.2924371494377456
2021-04-01,92.863845,0.340969,0.045,99.56655124758827,0.2927209998645173
2021-05-01,94.10482631578948,0.341151,0.045,100.90128061098598,0.2929010025741776
2021-06-01,95.25429047619048,0.34119,0.045,102.13466751630119,0.29293957458339
2021-07-01,96.23778095238096,0.34131,0.045,103.19201349176588,0.29305825768866045
2021-08-01,97.21381428571428,0.341577,0.045,104.2449058070455,0.2933223275978863
2021-09-01,98.28499545454544,0.341591,0.045,105.393896844106,0.29333617396016887
2021-10-01,99.24912631578948,0.341414,0.045,106.42347870028794,0.2931611163798943
2021-11-01,100.31007142857143,0.341756,0.045,107.56948180688642,0.293499363229915
2021-12-01,101.8885,0.342,0.045,109.26820357675113,0.29374068554396515
2022-01-01,103.98460000000001,0.369256,0.045,112.20729811999459,0.32069757485435535
2022-02-01,106.3071105263158,0.383158,0.045,115.07387380858707,0.33444701259991894
2022-03-01,109.45849999999999,0.405417,0.045,119.07931934021136,0.35646173960168054
2022-04-01,113.33447368421052,0.43273,0.045,124.0508692765208,0.38347500338707485
2022-05-01,117.77367,0.455219,0.045,129.55573135221704,0.4057172063406041
2022-06-01,122.73574,0.482062,0.045,135.81765713759438,0.4322656279636906
2022-07-01,128.44539047619048,0.510714,0.045,143.03336904879737,0.460603197398726
2022-08-01,135.29029545454546,0.604886,0.045,153.76270518893844,0.5537417423113399
2022-09-01,143.62523333333334,0.664881,0.045,165.33706044009665,0.6130783498170979
2022-10-01,152.5928947368421,0.690625,0.045,176.61836795131882,0.6385398320010833
2022-11-01,162.11833333333334,0.691786,0.045,187.6894704445649,0.6396880910445742
2022-12-01,172.90316,0.693,0.045,200.2265912185341,0.640888768459559
2023-01-01,182.24409090909091,0.694688,0.045,211.11866591006392,0.6425582441403598
2023-02-01,191.89239444444445,0.697743,0.045,222.4386010571433,0.6455797181953667
2023-03-01,203.10553636363636,0.709801,0.045,236.03394371008636,0.6575053922232765
2023-04-01,216.55591666666666,0.742361,0.045,253.3844996614709,0.6897080747866147
2023-05-01,231.19083500000002,0.900469,0.045,279.4224928197951,0.8460809781872384
2023-06-01,248.76167,0.924469,0.045,302.114971568326,0.8698175992412948
2023-07-01,266.4646857142857,0.926012,0.045,323.71511983472,0.8713436661698952
2023-08-01,322.1341,1.04017,0.045,400.31330961043216,0.9842488822652757
2023-09-01,349.9980142857143,1.137351,0.045,443.2343272006887,1.0803634060425424
2023-10-01,350.020415,1.220813,0.045,450.3869503746527,1.1629094838097827
2023-11-01,353.84040999999996,1.2935,0.045,461.574531852459,1.2347988077496277
2023-12-01,641.9947315789474,1.211711,0.045,824.6583499904592,1.15390737027503
2024-01-01,818.3454545454545,1.091676,0.045,1027.2299667480386,1.0351896490990384
2024-02-01,834.9140368421052,1.088947,0.045,1047.472065189832,1.0324905974800174
2024-03-01,850.3377210526315,0.854145,0.045,1018.1312080519591,0.800265343449397
2024-04-01,868.958335,0.626688,0.045,992.2252019211577,0.575304484487197
2024-05-01,886.8636363636364,0.355852,0.045,954.0943643359487,0.3074406719956655
2024-06-01,903.7794176470588,0.334265,0.045,967.5346209856604,0.28609057038341684
2024-07-01,923.7651545454545,0.369063,0.045,996.7694348732468,0.32050669286004685
2024-08-01,942.9204454545455,0.388437,0.045,1021.8935905901682,0.33966808020593436
2024-09-01,961.8254047619048,0.39381,0.045,1043.6422012641403,0.344982116244412
2024-10-01,981.5681772727272,0.405085,0.045,1067.7633214000612,0.35613338301043324
2024-11-01,1001.8377157894737,0.361711,0.045,1079.2157735932565,0.31323537461048667
2024-12-01,1020.7061421052632,0.32875,0.045,1091.3369051563761,0.28063609267037054
2025-01-01,1043.5643954545455,0.314972,0.045,1112.270492263295,0.26700929413358665
2025-02-01,1058.4625,0.284781,0.045,1120.3563563992009,0.23714961387345904
2025-03-01,1069.0347222222222,0.295069,0.045,1134.2289234297143,0.24732471209863144
2025-04-01,1121.5679842105264,0.331546,0.045,1199.9429300561383,0.2834014090231673
2025-05-01,1147.52916,0.327531,0.045,1226.5946809303794,0.2794304701259999
2025-06-01,1181.3552631578948,0.321612,0.045,1261.0461825041539,0.2735764259585431
2025-07-01,1267.022731818182,0.324972,0.045,1353.5307387130038,0.27689955290610985
2025-08-01,1329.537495,0.480312,0.045,1470.6802299738779,0.43053483267849907
2025-09-01,1399.8977363636363,0.48429,0.045,1549.8679216898697,0.43446917761820913
2025-10-01,1432.0227272727273,0.461676,0.045,1577.5370347427672,0.4121033464300236
2025-11-01,1427.6176470588234,0.320257,0.045,1523.4489912151232,0.2722362958948662
2025-12-01,1447.8377210526317,0.264605,0.045,1525.3765809519916,0.2171950277740156
