Segmento,Beta_Elasticidad,ErrorEstandar,PValue,R2,NObs,Significativo
GLOBAL,-0.008789580408107775,0.007348265750642461,0.23164055977039355,0.9092820577659713,2124,False
Entrada,-0.011285641232350792,0.005369101054377565,0.03555668883636824,0.8871617079499972,780,True
Espumante,-0.024402084255057924,0.033053004079178966,0.4603496037736021,0.5845997180444094,180,False
Gran Reserva / Icono,0.008708477022003419,0.04581757652541686,0.84925547093749,0.14326957472812107,204,False
Granel / Masivo,-0.0002117115671473671,0.009449033699693219,0.9821243881897338,0.8723509282920877,180,False
Reserva,-0.009077075218863397,0.01213705832540176,0.4545319437895048,0.5489833702244318,780,False
